MEASUREMENT_TIME,VALUE,ID_INPUT,PRIVATE_DATA
15:07.1,Zoom.exe,0,0
15:07.6,Zoom.exe,0,0
15:54.1,chrome.exe,0,0
16:27.6,Zoom.exe,0,0
16:30.1,Zoom.exe,0,0
16:36.1,Zoom.exe,0,0
17:44.1,Zoom.exe,0,0
17:47.1,Zoom.exe,0,0
17:48.1,Zoom.exe,0,0
17:48.6,chrome.exe,0,0
17:54.6,Zoom.exe,0,0
20:45.1,chrome.exe,0,0
20:45.6,chrome.exe,0,0
20:46.1,chrome.exe,0,0
20:53.1,chrome.exe,0,0
20:54.6,chrome.exe,0,0
21:00.6,Zoom.exe,0,0
21:08.1,chrome.exe,0,0
21:50.6,Zoom.exe,0,0
22:20.1,Zoom.exe,0,0
22:21.1,Zoom.exe,0,0
22:34.6,Zoom.exe,0,0
23:11.1,Zoom.exe,0,0
23:11.6,Zoom.exe,0,0
23:12.1,Zoom.exe,0,0
23:12.6,Zoom.exe,0,0
23:14.6,Zoom.exe,0,0
25:08.1,Zoom.exe,0,0
25:11.6,Zoom.exe,0,0
25:29.1,Zoom.exe,0,0
25:32.1,Zoom.exe,0,0
25:43.6,Zoom.exe,0,0
26:45.1,Zoom.exe,0,0
27:02.1,Zoom.exe,0,0
27:09.1,Zoom.exe,0,0
27:09.6,chrome.exe,0,0
27:13.1,Zoom.exe,0,0
27:21.1,Zoom.exe,0,0
27:22.1,Zoom.exe,0,0
27:28.6,Zoom.exe,0,0
27:31.6,Zoom.exe,0,0
28:01.1,Zoom.exe,0,0
28:25.1,Zoom.exe,0,0
29:17.1,chrome.exe,0,0
29:22.1,chrome.exe,0,0
29:39.1,chrome.exe,0,0
29:39.6,chrome.exe,0,0
29:40.1,chrome.exe,0,0
29:53.6,Zoom.exe,0,0
29:59.1,chrome.exe,0,0
30:19.6,Zoom.exe,0,0
30:26.6,chrome.exe,0,0
30:48.1,Zoom.exe,0,0
30:50.6,chrome.exe,0,0
30:55.6,Zoom.exe,0,0
31:08.1,Zoom.exe,0,0
31:18.1,chrome.exe,0,0
31:21.6,Zoom.exe,0,0
31:34.6,Zoom.exe,0,0
31:52.1,Zoom.exe,0,0
32:10.6,chrome.exe,0,0
32:29.6,Zoom.exe,0,0
32:32.1,OUTLOOK.EXE,0,0
32:32.6,OUTLOOK.EXE,0,0
32:33.1,OUTLOOK.EXE,0,0
32:39.1,OUTLOOK.EXE,0,0
32:39.6,OUTLOOK.EXE,0,0
32:43.1,Zoom.exe,0,0
32:43.6,OUTLOOK.EXE,0,0
32:47.1,Zoom.exe,0,0
32:49.6,chrome.exe,0,0
32:59.6,Zoom.exe,0,0
33:02.1,chrome.exe,0,0
33:29.1,Zoom.exe,0,0
33:31.6,chrome.exe,0,0
33:50.6,OUTLOOK.EXE,0,0
33:51.1,OUTLOOK.EXE,0,0
33:58.6,OUTLOOK.EXE,0,0
34:00.1,OUTLOOK.EXE,0,0
34:07.1,chrome.exe,0,0
35:11.1,Zoom.exe,0,0
36:09.1,chrome.exe,0,0
36:25.1,OUTLOOK.EXE,0,0
36:42.6,Zoom.exe,0,0
40:08.6,chrome.exe,0,0
40:38.1,Zoom.exe,0,0
41:08.6,Zoom.exe,0,0
41:13.6,Zoom.exe,0,0
41:14.1,Zoom.exe,0,0
41:16.1,chrome.exe,0,0
41:17.1,explorer.exe,0,0
41:18.1,OUTLOOK.EXE,0,0
41:19.6,Zoom.exe,0,0
41:22.6,OUTLOOK.EXE,0,0
41:52.6,Zoom.exe,0,0
41:53.6,Zoom.exe,0,0
41:59.6,Zoom.exe,0,0
42:05.6,chrome.exe,0,0
43:18.6,Zoom.exe,0,0
43:25.6,chrome.exe,0,0
43:32.6,Zoom.exe,0,0
43:39.6,Zoom.exe,0,0
43:42.1,Zoom.exe,0,0
43:42.6,chrome.exe,0,0
43:45.6,Zoom.exe,0,0
43:47.1,chrome.exe,0,0
47:02.6,Zoom.exe,0,0
50:27.1,chrome.exe,0,0
50:51.1,Zoom.exe,0,0
51:37.1,Zoom.exe,0,0
51:42.1,Zoom.exe,0,0
51:50.1,Zoom.exe,0,0
51:51.1,Zoom.exe,0,0
51:52.1,chrome.exe,0,0
52:03.6,Zoom.exe,0,0
52:55.1,chrome.exe,0,0
54:23.6,Zoom.exe,0,0
54:25.6,Zoom.exe,0,0
54:27.1,chrome.exe,0,0
54:31.1,Zoom.exe,0,0
54:32.1,chrome.exe,0,0
55:43.1,Zoom.exe,0,0
56:07.6,chrome.exe,0,0
57:15.1,Zoom.exe,0,0
58:30.6,Zoom.exe,0,0
58:32.1,Zoom.exe,0,0
58:35.1,FoxitReader.exe,0,0
58:36.6,Zoom.exe,0,0
58:42.1,chrome.exe,0,0
58:45.1,OUTLOOK.EXE,0,0
58:50.1,chrome.exe,0,0
58:53.1,OUTLOOK.EXE,0,0
58:54.6,OUTLOOK.EXE,0,0
58:55.1,OUTLOOK.EXE,0,0
58:57.6,OUTLOOK.EXE,0,0
58:58.1,OUTLOOK.EXE,0,0
59:01.1,explorer.exe,0,0
59:03.6,OUTLOOK.EXE,0,0
59:04.6,explorer.exe,0,0
59:05.6,OUTLOOK.EXE,0,0
59:06.1,explorer.exe,0,0
59:07.6,OUTLOOK.EXE,0,0
59:09.1,explorer.exe,0,0
59:11.6,OUTLOOK.EXE,0,0
59:14.1,OUTLOOK.EXE,0,0
59:14.6,OUTLOOK.EXE,0,0
59:34.6,chrome.exe,0,0
59:59.6,chrome.exe,0,0
00:58.6,Zoom.exe,0,0
00:59.6,Zoom.exe,0,0
01:00.1,Zoom.exe,0,0
01:01.1,Zoom.exe,0,0
01:02.1,Zoom.exe,0,0
01:06.6,chrome.exe,0,0
03:00.1,Zoom.exe,0,0
03:21.1,chrome.exe,0,0
05:31.6,Zoom.exe,0,0
05:33.6,Zoom.exe,0,0
05:36.1,chrome.exe,0,0
05:39.6,Zoom.exe,0,0
05:43.1,chrome.exe,0,0
06:19.6,Zoom.exe,0,0
07:37.6,OUTLOOK.EXE,0,0
07:40.6,OUTLOOK.EXE,0,0
07:41.1,OUTLOOK.EXE,0,0
07:47.6,Zoom.exe,0,0
07:52.6,chrome.exe,0,0
08:26.6,chrome.exe,0,0
08:42.1,chrome.exe,0,0
13:03.6,Zoom.exe,0,0
13:04.1,chrome.exe,0,0
13:07.6,Zoom.exe,0,0
13:09.6,chrome.exe,0,0
15:19.1,Zoom.exe,0,0
15:20.1,chrome.exe,0,0
16:04.1,Zoom.exe,0,0
16:11.6,chrome.exe,0,0
17:56.1,Zoom.exe,0,0
17:57.1,Zoom.exe,0,0
18:03.1,Zoom.exe,0,0
18:10.6,Zoom.exe,0,0
18:15.1,chrome.exe,0,0
18:18.6,Zoom.exe,0,0
18:25.6,chrome.exe,0,0
20:49.1,Zoom.exe,0,0
20:59.1,chrome.exe,0,0
24:26.6,Teams.exe,0,0
24:28.6,explorer.exe,0,0
24:38.1,chrome.exe,0,0
25:16.6,Zoom.exe,0,0
25:17.6,Zoom.exe,0,0
25:23.6,Zoom.exe,0,0
26:14.1,Zoom.exe,0,0
26:43.6,chrome.exe,0,0
26:47.6,Zoom.exe,0,0
28:08.1,chrome.exe,0,0
28:51.6,workpace.exe,0,0
28:52.1,POWERPNT.EXE,0,0
29:08.1,chrome.exe,0,0
29:21.6,Zoom.exe,0,0
29:22.1,chrome.exe,0,0
29:29.1,Zoom.exe,0,0
32:12.6,chrome.exe,0,0
33:41.1,Zoom.exe,0,0
33:41.6,Zoom.exe,0,0
33:52.1,chrome.exe,0,0
36:46.1,Zoom.exe,0,0
37:08.1,Zoom.exe,0,0
37:37.6,Zoom.exe,0,0
37:38.1,chrome.exe,0,0
37:41.6,Zoom.exe,0,0
41:12.6,Zoom.exe,0,0
45:41.1,Zoom.exe,0,0
45:47.1,Zoom.exe,0,0
46:52.1,chrome.exe,0,0
47:29.1,Zoom.exe,0,0
55:50.1,Zoom.exe,0,0
56:04.1,Zoom.exe,0,0
56:11.1,chrome.exe,0,0
56:59.1,Zoom.exe,0,0
57:06.1,explorer.exe,0,0
57:07.1,chrome.exe,0,0
57:46.1,Zoom.exe,0,0
57:54.1,chrome.exe,0,0
58:49.1,Zoom.exe,0,0
58:54.1,chrome.exe,0,0
59:07.1,Zoom.exe,0,0
59:21.6,Zoom.exe,0,0
59:24.1,Zoom.exe,0,0
59:32.6,chrome.exe,0,0
01:07.6,Zoom.exe,0,0
01:21.1,Zoom.exe,0,0
01:28.1,Zoom.exe,0,0
04:10.6,Zoom.exe,0,0
04:15.1,Zoom.exe,0,0
04:37.1,chrome.exe,0,0
05:38.6,Zoom.exe,0,0
06:03.6,chrome.exe,0,0
07:48.6,chrome.exe,0,0
08:29.6,Zoom.exe,0,0
09:32.1,chrome.exe,0,0
09:43.1,Zoom.exe,0,0
10:05.6,Zoom.exe,0,0
10:14.1,chrome.exe,0,0
10:42.1,Zoom.exe,0,0
10:49.1,Zoom.exe,0,0
10:50.6,Zoom.exe,0,0
10:53.1,chrome.exe,0,0
10:54.6,OUTLOOK.EXE,0,0
20:38.1,chrome.exe,0,0
20:40.6,chrome.exe,0,0
20:44.6,explorer.exe,0,0
20:47.1,SearchUI.exe,0,0
20:48.1,StartMenuExperienceHost.exe,0,0
36:55.7,LockApp.exe,0,0
37:06.2,SearchUI.exe,0,0
37:08.7,vpnui.exe,0,0
37:13.2,vpnui.exe,0,0
37:21.7,cmd.exe,0,0
37:56.6,cmd.exe,0,0
37:59.6,vpnui.exe,0,0
38:06.6,vpnui.exe,0,0
38:07.6,vpndownloader.exe,0,0
38:08.6,vpnui.exe,0,0
38:19.6,explorer.exe,0,0
38:20.6,OUTLOOK.EXE,0,0
38:30.1,OUTLOOK.EXE,0,0
38:33.1,OUTLOOK.EXE,0,0
38:34.1,OUTLOOK.EXE,0,0
38:37.6,Teams.exe,0,0
38:38.1,Teams.exe,0,0
38:39.6,Teams.exe,0,0
38:54.1,Teams.exe,0,0
41:14.1,Teams.exe,0,0
41:31.1,Teams.exe,0,0
41:33.1,explorer.exe,0,0
41:34.6,OUTLOOK.EXE,0,0
41:37.1,OUTLOOK.EXE,0,0
42:10.1,explorer.exe,0,0
42:14.1,explorer.exe,0,0
42:15.1,OUTLOOK.EXE,0,0
42:17.1,OUTLOOK.EXE,0,0
42:53.6,explorer.exe,0,0
42:54.6,OUTLOOK.EXE,0,0
42:57.1,OUTLOOK.EXE,0,0
43:31.0,OUTLOOK.EXE,0,0
43:42.0,OUTLOOK.EXE,0,0
44:32.4,OUTLOOK.EXE,0,0
44:33.3,OUTLOOK.EXE,0,0
44:38.8,OUTLOOK.EXE,0,0
44:54.3,Teams.exe,0,0
46:47.9,chrome.exe,0,0
46:54.9,Teams.exe,0,0
51:40.7,OUTLOOK.EXE,0,0
51:56.7,explorer.exe,0,0
51:59.7,explorer.exe,0,0
52:00.7,OUTLOOK.EXE,0,0
53:25.7,Teams.exe,0,0
54:06.2,OUTLOOK.EXE,0,0
54:10.2,OUTLOOK.EXE,0,0
56:26.2,Teams.exe,0,0
56:29.2,explorer.exe,0,0
56:33.2,OUTLOOK.EXE,0,0
56:35.2,OUTLOOK.EXE,0,0
56:59.2,OUTLOOK.EXE,0,0
56:59.7,OUTLOOK.EXE,0,0
57:00.2,OUTLOOK.EXE,0,0
57:00.7,OUTLOOK.EXE,0,0
57:01.2,OUTLOOK.EXE,0,0
57:09.7,OUTLOOK.EXE,0,0
57:10.2,OUTLOOK.EXE,0,0
57:27.7,Teams.exe,0,0
58:39.7,OUTLOOK.EXE,0,0
03:52.7,explorer.exe,0,0
03:53.7,OUTLOOK.EXE,0,0
03:55.7,OUTLOOK.EXE,0,0
03:57.2,OUTLOOK.EXE,0,0
03:58.2,OUTLOOK.EXE,0,0
04:01.7,Teams.exe,0,0
04:11.2,OUTLOOK.EXE,0,0
04:14.7,Teams.exe,0,0
04:16.2,OUTLOOK.EXE,0,0
04:31.2,Teams.exe,0,0
04:34.2,Teams.exe,0,0
04:44.2,Teams.exe,0,0
04:47.2,OUTLOOK.EXE,0,0
04:51.2,OUTLOOK.EXE,0,0
04:52.2,OUTLOOK.EXE,0,0
04:53.2,Teams.exe,0,0
04:56.2,OUTLOOK.EXE,0,0
05:01.2,Teams.exe,0,0
05:03.7,OUTLOOK.EXE,0,0
07:17.7,Teams.exe,0,0
10:41.2,Teams.exe,0,0
20:58.7,Teams.exe,0,0
21:05.7,Teams.exe,0,0
21:06.7,OUTLOOK.EXE,0,0
21:09.2,Teams.exe,0,0
21:16.7,OUTLOOK.EXE,0,0
21:20.2,OUTLOOK.EXE,0,0
23:02.2,OUTLOOK.EXE,0,0
23:07.2,OUTLOOK.EXE,0,0
23:34.2,OUTLOOK.EXE,0,0
23:34.7,OUTLOOK.EXE,0,0
23:40.7,OUTLOOK.EXE,0,0
23:50.2,OUTLOOK.EXE,0,0
24:28.2,OUTLOOK.EXE,0,0
24:39.2,Teams.exe,0,0
26:18.7,OUTLOOK.EXE,0,0
26:20.7,OUTLOOK.EXE,0,0
26:24.7,OUTLOOK.EXE,0,0
26:30.2,OUTLOOK.EXE,0,0
26:31.7,OUTLOOK.EXE,0,0
26:32.7,OUTLOOK.EXE,0,0
26:42.2,OUTLOOK.EXE,0,0
26:44.2,OUTLOOK.EXE,0,0
27:06.2,Teams.exe,0,0
27:08.7,OUTLOOK.EXE,0,0
27:13.2,OUTLOOK.EXE,0,0
27:22.7,Teams.exe,0,0
27:29.7,OUTLOOK.EXE,0,0
28:30.2,Teams.exe,0,0
39:18.7,OUTLOOK.EXE,0,0
39:33.7,OUTLOOK.EXE,0,0
