,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall
23,30s,10,16,18,0.9353753235547886,0.5451811056213924,0.94442207748927,0.9641898858366623,0.9353753235547886
24,30s,10,32,6,0.9666954270923209,0.5319894148773766,0.9668839306323906,0.9670752328077639,0.9666954270923209
25,30s,10,32,12,0.9666091458153581,0.4996938822958561,0.9667248331703756,0.9668412370034746,0.9666091458153581
26,30s,10,32,18,0.9354616048317516,0.5016961960606479,0.9356612751580686,0.9358628258778287,0.9354616048317516
27,1min,3,8,6,0.9473956536736806,0.6402468292429974,0.9477023772781386,0.9480210593680366,0.9473956536736806
28,1min,3,8,12,0.9470507071403932,0.6747813311152395,0.9476007199653285,0.9525130747591266,0.9470507071403932
29,1min,3,8,18,0.9441186616074508,0.6857043499309732,0.9511138004506579,0.9753677207753667,0.9441186616074508
30,1min,3,16,6,0.9470507071403932,0.6428851528087688,0.9471204303758448,0.9471931850563163,0.9470507071403932
31,1min,3,16,12,0.9470507071403932,0.641748545660697,0.952061118639526,0.9740907600336816,0.9470507071403932
32,1min,3,16,18,0.9473956536736806,0.7600290748700519,0.9483197704218883,0.9535372635532492,0.9473956536736806
33,1min,3,32,6,0.9786133149361849,0.6237795065215881,0.9786133149361849,0.9786133149361849,0.9786133149361849
34,1min,3,32,12,0.9786133149361849,0.7260432262896636,0.9788616726596688,0.9791135635162553,0.9786133149361849
35,1min,3,32,18,0.9473956536736806,0.6413976228937911,0.9476470573952736,0.9479032204902054,0.9473956536736806
36,1min,6,8,6,0.9332182916307161,0.573193538393104,0.9356807903084099,0.9561608382926653,0.9332182916307161
37,1min,6,8,12,0.9330457290767903,0.5355036315901165,0.9421592508908171,0.9619632309019713,0.9330457290767903
38,1min,6,8,18,0.9301121656600517,0.62037581686191,0.9321950209910616,0.9343555080282987,0.9301121656600517
39,1min,6,16,6,0.9332182916307161,0.5781503834409486,0.9333867857421866,0.9335553643966134,0.9332182916307161
40,1min,6,16,12,0.9330457290767903,0.5249927140636986,0.9354958951558423,0.9558503309828299,0.9330457290767903
41,1min,6,16,18,0.9330457290767903,0.5758061063165824,0.9405358538337059,0.9623497524001129,0.9330457290767903
42,1min,6,32,6,0.964106988783434,0.5646814687136505,0.9641912247623476,0.9642754818742215,0.964106988783434
